name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g0.2,15,12.0,0.2,0.2000000000000001,4.163336342344337e-16,0.08,custom_erdos_renyi,0.9800796508789062,0.9640600461077145,0.9757066752340068,522,885,9.978634230578542e-6,9.899894389514552e-6,99.38923368371172
g0.215,15,12.0,0.215,0.2150000000000001,5.163828021512356e-16,0.081,custom_erdos_renyi,0.9800796508789062,0.9640859601109972,0.973645711235044,522,775,9.91864078286886e-6,9.92047797998552e-6,99.38923368371172
g0.23,15,12.0,0.23,0.23000000000000026,1.0860877414811314e-15,0.082,custom_erdos_renyi,0.9800796508789062,0.9640864550665569,0.9786145262450712,522,1029,9.905598593790144e-6,9.899882405239868e-6,99.38923368371172
g0.26,15,12.0,0.26,0.26000000000000023,8.540177112501203e-16,0.084,custom_erdos_renyi,0.9800796508789062,0.9640283384593783,0.9878805391417552,523,2153,9.834898564292649e-6,9.977665603622121e-6,99.38923368371172
g0.275,15,12.0,0.275,0.27499999999999997,2.0185873175002846e-16,0.085,custom_erdos_renyi,0.9800796508789062,0.9640999180274565,0.9791872244896576,522,1070,9.925299985696912e-6,9.958893023659376e-6,99.38923368371172
g0.305,15,12.0,0.305,0.305,0.0,0.087,custom_erdos_renyi,0.9800796508789062,0.964062338066201,0.9844837389952199,522,1569,9.972956414000533e-6,9.94015470631715e-6,99.38923368371172
g0.32,15,12.0,0.32,0.3200000000000002,5.204170427930421e-16,0.088,custom_erdos_renyi,0.9800796508789062,0.9640542024974329,0.9816398177570297,523,1270,9.799285166978144e-6,9.799595618281698e-6,99.38923368371172
g0.335,15,12.0,0.335,0.3352487271501238,0.0007424691048471833,0.089,custom_erdos_renyi,0.9800796508789062,0.9640584116034695,0.9806294763423911,522,1174,9.999574971941705e-6,9.992402827257996e-6,99.38923368371172
g0.35,15,12.0,0.35,0.35,0.0,0.09,custom_erdos_renyi,0.9800796508789062,0.964080801584311,0.9783468918753115,522,1011,9.92609094624397e-6,9.959851476060155e-6,99.38923368371172
g0.365,15,12.0,0.365,0.36818475591544136,0.008725358672442118,0.082,custom_erdos_renyi,0.9800796508789062,0.9640578204386054,0.9833220011104432,522,1443,9.997551106977198e-6,9.854285512506111e-6,99.38923368371172
g0.38,15,12.0,0.38,0.38,0.0,0.092,custom_erdos_renyi,0.9800796508789062,0.9640646636638184,0.9793714376525157,522,1074,9.967314877457056e-6,9.839069284867108e-6,99.38923368371172
g0.395,15,12.0,0.395,0.395,0.0,0.093,custom_erdos_renyi,0.9800796508789062,0.9640637027355223,0.9817893634437385,522,1287,9.946198430477171e-6,9.916515976593487e-6,99.38923368371172
g0.41,15,12.0,0.41,0.41,0.0,0.094,custom_erdos_renyi,0.9800796508789062,0.9640676635556563,0.9790768105836031,522,1057,9.967564388951855e-6,9.946678779126916e-6,99.38923368371172
g0.425,15,12.0,0.425,0.4231893126750364,0.00426044076462021,0.096,custom_erdos_renyi,0.9800796508789062,0.964057236727705,0.98242571309778,522,1340,9.989725889919532e-6,9.92540161115496e-6,99.38923368371172
g0.44,15,12.0,0.44,0.4400000000000001,2.523234146875356e-16,0.096,custom_erdos_renyi,0.9800796508789062,0.9640522865548278,0.9826008238583432,523,1364,9.801144727650257e-6,9.980769323347793e-6,99.38923368371172
g0.455,15,12.0,0.455,0.4550000000000002,3.6600759053576587e-16,0.097,custom_erdos_renyi,0.9800796508789062,0.9640582724765705,0.9854364887386389,522,1704,9.99306133880884e-6,9.976065042077709e-6,99.38923368371172
g0.47,15,12.0,0.47,0.4700000000000005,1.062979491662384e-15,0.098,custom_erdos_renyi,0.9800796508789062,0.9640512747638467,0.9884554500934949,523,2263,9.798761605339656e-6,9.97603561969651e-6,99.38923368371172
