name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g0.2,15,12.0,0.2,0.2000000000000001,4.163336342344337e-16,0.08,custom_erdos_renyi,0.9800796508789062,0.9640600461077145,0.9661097520809472,522,556,9.978634230578542e-6,9.908219136212093e-6,99.38923368371172
g0.215,15,12.0,0.215,0.2150000000000001,5.163828021512356e-16,0.081,custom_erdos_renyi,0.9800796508789062,0.9640537859029504,0.9684248504477245,523,618,9.79532340317224e-6,9.984612563962436e-6,99.38923368371172
g0.23,15,12.0,0.23,0.23000000000000026,1.0860877414811314e-15,0.082,custom_erdos_renyi,0.9800872802734375,0.9640872166680234,0.9659947018219295,522,565,9.937109671981359e-6,9.994385852085674e-6,99.38923368371172
g0.26,15,12.0,0.26,0.26000000000000023,8.540177112501203e-16,0.084,custom_erdos_renyi,0.9800796508789062,0.9640650850074489,0.9684441590056007,522,615,9.997062573763316e-6,9.889460580170262e-6,99.38923368371172
g0.275,15,12.0,0.275,0.27499999999999997,2.0185873175002846e-16,0.085,custom_erdos_renyi,0.9800796508789062,0.9640546169427358,0.9675168564996386,522,607,9.99703239473737e-6,9.792759891324998e-6,99.38923368371172
g0.305,15,12.0,0.305,0.305,0.0,0.087,custom_erdos_renyi,0.9800796508789062,0.9640583860791273,0.967570442425579,522,607,9.979059726994421e-6,9.999557803008763e-6,99.38923368371172
g0.32,15,12.0,0.32,0.3200000000000002,5.204170427930421e-16,0.088,custom_erdos_renyi,0.9800796508789062,0.9640539751439186,0.9676839455083962,523,601,9.805514713884245e-6,9.897250433599236e-6,99.38923368371172
g0.335,15,12.0,0.335,0.3352487271501238,0.0007424691048471833,0.089,custom_erdos_renyi,0.9800796508789062,0.964058844340716,0.9665021876235179,522,569,9.997689943808119e-6,9.894924509951109e-6,99.38923368371172
g0.35,15,12.0,0.35,0.35,0.0,0.09,custom_erdos_renyi,0.9800872802734375,0.9640553531051395,0.9667753268202474,523,586,9.796662067212969e-6,9.982226407939665e-6,99.38923368371172
g0.365,15,12.0,0.365,0.36818475591544136,0.008725358672442118,0.082,custom_erdos_renyi,0.9808883666992188,0.9650195632230093,0.9675073401399595,544,588,9.914953635725698e-6,9.999122906334534e-6,99.38923368371172
