name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g12.0,12.0,10.0,0.2,0.20000000000000018,8.326672684688674e-16,0.1,custom_erdos_renyi,0.9864883422851562,0.9731128601585065,0.9755513677041403,768,858,9.94829259493013e-6,9.991800542563656e-6,85.55319421678888
g22.0,22.0,18.0,0.2,0.19587653036208708,0.020617348189564677,0.055,custom_erdos_renyi,0.9864883422851562,0.9727925938485774,0.9751456950395081,764,864,9.96099629882452e-6,9.99811911216869e-6,111.19028772448958
g40.0,40.0,32.0,0.2,0.1989538005850154,0.0052309970749229995,0.0325,custom_erdos_renyi,0.9864883422851562,0.9727436865276576,0.9751628514779286,764,866,9.869696344450007e-6,9.943925517813534e-6,105.29758861040258
g42.0,42.0,34.0,0.2,0.20046912795409955,0.002345639770497676,0.03,custom_erdos_renyi,0.9864883422851562,0.9727316618808659,0.9751912498162812,766,862,9.875862557767734e-6,9.957660047937855e-6,114.67673511364583
g44.0,44.0,35.0,0.2,0.2016779323925742,0.008389661962870942,0.0275,custom_erdos_renyi,0.9864883422851562,0.9728470248560285,0.9747595682741726,755,847,9.91651621395917e-6,9.956912012276664e-6,147.00515324408713
