name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g10.0,10.0,8.0,0.5,0.5,0.0,0.0625,custom_erdos_renyi,0.9881210327148438,0.9759205407070007,0.9784083640302415,890,1028,9.926494593970325e-6,9.884816106975336e-6,70.13380506920919
g12.0,12.0,10.0,0.5,0.5000000000000001,2.220446049250313e-16,0.125,custom_erdos_renyi,0.9881210327148438,0.9757002544368197,0.9810093693706482,874,1196,9.955362775732057e-6,9.916745111471226e-6,85.55319421678888
g14.0,14.0,11.0,0.5,0.506934856903035,0.013869713806069939,0.11,custom_erdos_renyi,0.9881210327148438,0.9751709715401958,0.9807853495117687,863,1186,9.89857712371811e-6,9.943396378654396e-6,84.07133164056063
g16.0,16.0,13.0,0.5,0.5067097851382681,0.013419570276536286,0.055,custom_erdos_renyi,0.9881210327148438,0.975708449001169,0.9786910902814492,875,1050,9.896855259178272e-6,9.952865829637725e-6,106.09138229861615
g20.0,20.0,16.0,0.5,0.49999999999999994,1.1102230246251565e-16,0.075,custom_erdos_renyi,0.9881210327148438,0.9751574809554019,0.9807406584959512,864,1180,9.879184609207226e-6,9.992724085344535e-6,103.75259452210241
g22.0,22.0,18.0,0.5,0.49494226512065215,0.010115469758695705,0.035,custom_erdos_renyi,0.9881210327148438,0.9754493342882049,0.9784967534797995,870,1040,9.899427190568355e-6,9.895733939974116e-6,111.19028772448958
g24.0,24.0,19.0,0.5,0.5058988649369386,0.011797729873877172,0.065,custom_erdos_renyi,0.9881210327148438,0.975667155734795,0.9805042498263743,875,1176,9.883780206887405e-6,9.929226087113108e-6,99.69523570957726
g30.0,30.0,24.0,0.5,0.5023514963507265,0.004702992701453024,0.0525,custom_erdos_renyi,0.9881210327148438,0.9755403107040473,0.9805224363232274,881,1176,9.913337863519129e-6,9.95359057456846e-6,105.72478154757742
g32.0,32.0,26.0,0.5,0.4989508753437144,0.0020982493125711876,0.0225,custom_erdos_renyi,0.9881210327148438,0.975444176449057,0.978361572996408,870,1031,9.993946185171687e-6,9.890328495881784e-6,116.6753960139648
g34.0,34.0,27.0,0.5,0.4913350177498241,0.017329964500351847,0.025,custom_erdos_renyi,0.9881210327148438,0.9756904688343478,0.9788730147808024,873,1055,9.946702769353388e-6,9.98537448490544e-6,123.90510826483751
g38.0,38.0,30.0,0.5,0.5058126877177556,0.01162537543551112,0.02,custom_erdos_renyi,0.9881210327148438,0.9756569880347989,0.978556878898911,879,1038,9.962224931908681e-6,9.9732454683088e-6,127.808958987044
g46.0,46.0,37.0,0.5,0.4876182225498841,0.024763554900231854,0.0175,custom_erdos_renyi,0.9881210327148438,0.9754257332869947,0.9781576117397189,871,1025,9.884900258605445e-6,9.994812420172083e-6,167.28338177007433
g50.0,50.0,40.0,0.5,0.5072281235785567,0.014456247157113467,0.0325,custom_erdos_renyi,0.9881210327148438,0.9756529237046669,0.980493029663769,879,1183,9.88021593106847e-6,9.924315801518313e-6,166.91494686828082
