name,n,mu,target,sigma,sigma_error,scale,type
g30.0,30.0,24.0,0.85,0.8487965601733767,0.001415811560733292,0.028,custom_barabasi_albert
g60.0,60.0,48.0,0.85,0.8498723417678379,0.00015018615548482097,0.033,custom_barabasi_albert
g90.0,90.0,72.0,0.85,0.8482075051978736,0.0021088174142663515,0.0225,custom_barabasi_albert
g120.0,120.0,96.0,0.85,0.8541835340944303,0.004921804816976807,0.0055,custom_barabasi_albert
g150.0,150.0,120.0,0.85,0.8528986548877109,0.003410182220836359,0.0045,custom_barabasi_albert
g180.0,180.0,144.0,0.85,0.8568981107034571,0.008115424357008398,0.0045,custom_barabasi_albert
g210.0,210.0,168.0,0.85,0.8540568637282298,0.004772780856740913,0.003,custom_barabasi_albert
g240.0,240.0,192.0,0.85,0.8568333572666533,0.00803924384312159,0.003,custom_barabasi_albert
g270.0,270.0,216.0,0.85,0.8486937546171105,0.0015367592739876253,0.0025,custom_barabasi_albert
g300.0,300.0,240.0,0.85,0.8384225170900176,0.013620568129391053,0.0025,custom_barabasi_albert
g330.0,330.0,264.0,0.85,0.8606230433740462,0.012497698087113155,0.002,custom_barabasi_albert
g360.0,360.0,288.0,0.85,0.830758005944583,0.022637640065196394,0.002,custom_barabasi_albert
g390.0,390.0,312.0,0.85,0.8627754732008047,0.015029968471534993,0.0015,custom_barabasi_albert
g420.0,420.0,336.0,0.85,0.8595282827952893,0.011209744465046209,0.0015,custom_barabasi_albert
g450.0,450.0,360.0,0.85,0.8402512207921167,0.011469152009274479,0.0015,custom_barabasi_albert
g480.0,480.0,384.0,0.85,0.829599984195311,0.024000018593751737,0.0015,custom_barabasi_albert
g510.0,510.0,408.0,0.85,0.8723928432552671,0.026344521476784868,0.004,custom_barabasi_albert
g540.0,540.0,432.0,0.85,0.8693663157901804,0.02278390092962405,0.001,custom_barabasi_albert
g570.0,570.0,456.0,0.85,0.8644654345392341,0.017018158281451885,0.001,custom_barabasi_albert
g600.0,600.0,480.0,0.85,0.8613562198333808,0.0133602586275069,0.001,custom_barabasi_albert
g630.0,630.0,504.0,0.85,0.8622684648364408,0.014433488042871577,0.001,custom_barabasi_albert
g660.0,660.0,528.0,0.85,0.8473216539283962,0.0031509953783573842,0.001,custom_barabasi_albert
g690.0,690.0,552.0,0.85,0.8293872992093325,0.02425023622431466,0.001,custom_barabasi_albert
g720.0,720.0,576.0,0.85,0.8353094721605531,0.01728297392876107,0.001,custom_barabasi_albert
g750.0,750.0,600.0,0.85,0.8153811618069903,0.040728044932952595,0.001,custom_barabasi_albert
g810.0,810.0,648.0,0.85,0.8702186073064389,0.023786596831104557,0.0025,custom_barabasi_albert
g870.0,870.0,696.0,0.85,0.8911990837159339,0.04846951025403994,0.0005,custom_barabasi_albert
g900.0,900.0,720.0,0.85,0.8876960487332048,0.04434829262729985,0.0005,custom_barabasi_albert
g930.0,930.0,744.0,0.85,0.8867004923380974,0.043177049809526434,0.0005,custom_barabasi_albert
g960.0,960.0,768.0,0.85,0.8836609378651945,0.03960110337081709,0.0005,custom_barabasi_albert
g990.0,990.0,792.0,0.85,0.8786785552802624,0.033739476800308726,0.0005,custom_barabasi_albert
g1020.0,1020.0,816.0,0.85,0.86621724309756,0.019079109526541186,0.002,custom_barabasi_albert
g1050.0,1050.0,840.0,0.85,0.8647074112934796,0.017302836815858393,0.0005,custom_barabasi_albert
g1080.0,1080.0,864.0,0.85,0.8657053037515269,0.018476827942972823,0.0005,custom_barabasi_albert
g1110.0,1110.0,888.0,0.85,0.8566959340914901,0.007877569519400192,0.0005,custom_barabasi_albert
g1140.0,1140.0,912.0,0.85,0.8576745589544635,0.00902889288760419,0.0005,custom_barabasi_albert
g1170.0,1170.0,936.0,0.85,0.8507330191918497,0.0008623755198232468,0.0005,custom_barabasi_albert
g1200.0,1200.0,960.0,0.85,0.849699142124404,0.00035395044187761453,0.0005,custom_barabasi_albert
g1230.0,1230.0,984.0,0.85,0.8476775859504678,0.002732251822979001,0.0005,custom_barabasi_albert
g1260.0,1260.0,1008.0,0.85,0.841685620737983,0.009781622661196409,0.0005,custom_barabasi_albert
g1290.0,1290.0,1032.0,0.85,0.8436716565632443,0.007445109925594943,0.0005,custom_barabasi_albert
g1320.0,1320.0,1056.0,0.85,0.8267190051250032,0.027389405735290348,0.0005,custom_barabasi_albert
g1350.0,1350.0,1080.0,0.85,0.8766297517141836,0.03132911966374539,0.0015,custom_barabasi_albert
g1380.0,1380.0,1104.0,0.85,0.8276829574062748,0.026255344227911922,0.0005,custom_barabasi_albert
g1410.0,1410.0,1128.0,0.85,0.8147446326268618,0.041476902791927256,0.0005,custom_barabasi_albert
g1440.0,1440.0,1152.0,0.85,0.8112163804169817,0.04562778774472734,0.0005,custom_barabasi_albert
