name,n,mu,target,sigma,sigma_error,scale,type
g100.0,100.0,80.0,0.8,0.8024048924985364,0.0030061156231704633,0.02,custom_barabasi_albert
g200.0,200.0,160.0,0.8,0.8139498332298354,0.017437291537294175,0.004,custom_barabasi_albert
g300.0,300.0,240.0,0.8,0.7969103172786535,0.00386210340168322,0.003,custom_barabasi_albert
g400.0,400.0,320.0,0.8,0.8146283404420231,0.018285425552528878,0.002,custom_barabasi_albert
g500.0,500.0,400.0,0.8,0.8284275737889356,0.03553446723616946,0.004,custom_barabasi_albert
