name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g0.2,15,12.0,0.2,0.2000000000000001,4.163336342344337e-16,0.08,custom_erdos_renyi,0.9800796508789062,0.9640600461077145,0.9831059752798628,522,1424,9.978634230578542e-6,9.999474285093957e-6,99.38923368371172
g0.215,15,12.0,0.215,0.2150000000000001,5.163828021512356e-16,0.081,custom_erdos_renyi,0.9800796508789062,0.9640582547465895,NaN,522,40000,9.990448793184559e-6,NaN,99.38923368371172
g0.23,15,12.0,0.23,0.23000000000000026,1.0860877414811314e-15,0.082,custom_erdos_renyi,0.9800796508789062,0.9640791340457692,0.9882142920603334,522,2208,9.929482237158727e-6,9.99317212041495e-6,99.38923368371172
g0.26,15,12.0,0.26,0.26000000000000023,8.540177112501203e-16,0.084,custom_erdos_renyi,0.9800796508789062,0.9640793640980851,NaN,522,40000,9.921748295005361e-6,NaN,99.38923368371172
g0.275,15,12.0,0.275,0.27499999999999997,2.0185873175002846e-16,0.085,custom_erdos_renyi,0.9800796508789062,0.9640754951928079,NaN,522,40000,9.937928551195796e-6,NaN,99.38923368371172
g0.305,15,12.0,0.305,0.305,0.0,0.087,custom_erdos_renyi,0.9800796508789062,0.9640868174530761,0.9872218598293412,522,1980,9.917939087444871e-6,9.940850682177427e-6,99.38923368371172
g0.32,15,12.0,0.32,0.3200000000000002,5.204170427930421e-16,0.088,custom_erdos_renyi,0.9800872802734375,0.9640632669986227,0.9882941265226118,523,2229,9.810527619863452e-6,9.976682245310675e-6,99.38923368371172
g0.335,15,12.0,0.335,0.3352487271501238,0.0007424691048471833,0.089,custom_erdos_renyi,0.9800796508789062,0.9640551034835804,0.9926072337930185,523,3837,9.794765087056678e-6,9.999065409202479e-6,99.38923368371172
g0.35,15,12.0,0.35,0.35,0.0,0.09,custom_erdos_renyi,0.9800796508789062,0.9640845989900745,0.9921534543775012,522,3666,9.950801102998064e-6,9.98677045382923e-6,99.38923368371172
g0.365,15,12.0,0.365,0.36818475591544136,0.008725358672442118,0.082,custom_erdos_renyi,0.9800796508789062,0.9640559719781611,NaN,522,40000,9.995603588608404e-6,NaN,99.38923368371172
g0.38,15,12.0,0.38,0.38,0.0,0.092,custom_erdos_renyi,0.9800796508789062,0.9640640434506641,0.9877391237226916,522,2055,9.962842407729156e-6,9.576756001522524e-6,99.38923368371172
g0.395,15,12.0,0.395,0.395,0.0,0.093,custom_erdos_renyi,0.9826431274414062,0.9676192720346966,0.9919319187782643,600,3500,9.935853187897914e-6,9.973842486278583e-6,99.38923368371172
g0.41,15,12.0,0.41,0.41,0.0,0.094,custom_erdos_renyi,0.9800796508789062,0.964050505547433,0.9912347689179656,523,3226,9.799439306956703e-6,9.95303599815589e-6,99.38923368371172
g0.425,15,12.0,0.425,0.4231893126750364,0.00426044076462021,0.096,custom_erdos_renyi,0.980316162109375,0.9646027796398492,0.9887689867800301,529,2383,9.86097687721843e-6,9.974781472216199e-6,99.38923368371172
g0.44,15,12.0,0.44,0.4400000000000001,2.523234146875356e-16,0.096,custom_erdos_renyi,0.9800796508789062,0.9640606554740536,0.9879050725825603,522,2145,9.987011677120572e-6,9.977027931290516e-6,99.38923368371172
g0.455,15,12.0,0.455,0.4550000000000002,3.6600759053576587e-16,0.097,custom_erdos_renyi,0.9800796508789062,0.9640554887908361,0.9896462889318658,522,2614,9.996150427016293e-6,9.998801594773843e-6,99.38923368371172
