name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g0.2,15,12.0,0.2,0.2000000000000001,4.163336342344337e-16,0.08,custom_erdos_renyi,0.9800796508789062,0.9640600461077145,0.9743804346976457,522,817,9.978634230578542e-6,9.894475932387126e-6,99.38923368371172
g0.215,15,12.0,0.215,0.2150000000000001,5.163828021512356e-16,0.081,custom_erdos_renyi,0.9800796508789062,0.964065958233273,0.9723522815895108,522,743,9.971131621544504e-6,9.923015566515314e-6,99.38923368371172
g0.23,15,12.0,0.23,0.23000000000000026,1.0860877414811314e-15,0.082,custom_erdos_renyi,0.9800796508789062,0.9640596221705662,0.9756560720391747,522,886,9.967401581434387e-6,9.960826616528529e-6,99.38923368371172
g0.26,15,12.0,0.26,0.26000000000000023,8.540177112501203e-16,0.084,custom_erdos_renyi,0.9800796508789062,0.9640588458441101,0.9807516705686524,522,1180,9.982090551863276e-6,9.830704224500497e-6,99.38923368371172
g0.275,15,12.0,0.275,0.27499999999999997,2.0185873175002846e-16,0.085,custom_erdos_renyi,0.9800796508789062,0.9640525357898135,0.9816472956887652,523,1271,9.794401290841304e-6,9.89927564734594e-6,99.38923368371172
g0.305,15,12.0,0.305,0.305,0.0,0.087,custom_erdos_renyi,0.9800796508789062,0.9640657751735356,0.9744488586076866,522,822,9.962370791122277e-6,9.900262310708063e-6,99.38923368371172
g0.32,15,12.0,0.32,0.3200000000000002,5.204170427930421e-16,0.088,custom_erdos_renyi,0.9800872802734375,0.9640600727105774,0.9773436825428808,522,957,9.9965767325072e-6,9.890041398868954e-6,99.38923368371172
g0.335,15,12.0,0.335,0.3352487271501238,0.0007424691048471833,0.089,custom_erdos_renyi,0.9800796508789062,0.9640702942748387,0.9798674513681271,522,1119,9.983460300844182e-6,9.892046110182573e-6,99.38923368371172
g0.35,15,12.0,0.35,0.35,0.0,0.09,custom_erdos_renyi,0.9800796508789062,0.9640671767536697,0.9774101976844719,522,956,9.96459022664653e-6,9.885327773712094e-6,99.38923368371172
g0.365,15,12.0,0.365,0.36818475591544136,0.008725358672442118,0.082,custom_erdos_renyi,0.9800796508789062,0.964068055963708,0.9757795543936323,522,877,9.968003648969104e-6,9.884708186275182e-6,99.38923368371172
g0.38,15,12.0,0.38,0.38,0.0,0.092,custom_erdos_renyi,0.9800796508789062,0.9640742892563458,0.97737190537475,522,967,9.945519298171224e-6,9.972989193751669e-6,99.38923368371172
g0.395,15,12.0,0.395,0.395,0.0,0.093,custom_erdos_renyi,0.9800796508789062,0.9640693021879284,0.9779731522851605,522,990,9.932252746785997e-6,9.871469776739916e-6,99.38923368371172
g0.41,15,12.0,0.41,0.41,0.0,0.094,custom_erdos_renyi,0.9800796508789062,0.9640532362929501,0.9815621725509635,523,1253,9.793464492063864e-6,9.933017942775901e-6,99.38923368371172
g0.425,15,12.0,0.425,0.4231893126750364,0.00426044076462021,0.096,custom_erdos_renyi,0.9800796508789062,0.9640494275354774,0.9805793059243838,522,1187,9.990875937504473e-6,9.902711397696828e-6,99.38923368371172
g0.44,15,12.0,0.44,0.4400000000000001,2.523234146875356e-16,0.096,custom_erdos_renyi,0.9800796508789062,0.9640538173393386,0.9808628256050144,523,1202,9.797307370551511e-6,9.888067418889479e-6,99.38923368371172
g0.455,15,12.0,0.455,0.4550000000000002,3.6600759053576587e-16,0.097,custom_erdos_renyi,0.9800796508789062,0.9640701341225475,0.9841649078332886,522,1515,9.960677267717433e-6,9.98351699893485e-6,99.38923368371172
g0.47,15,12.0,0.47,0.4700000000000005,1.062979491662384e-15,0.098,custom_erdos_renyi,0.9800796508789062,0.9640697597995358,0.9826024875931175,522,1334,9.956954583695277e-6,9.968624249789837e-6,99.38923368371172
g0.485,15,12.0,0.485,0.48500000000000015,3.433679457603577e-16,0.099,custom_erdos_renyi,0.9800796508789062,0.9640548611809328,0.9830201585134432,522,1405,9.995739729040665e-6,9.963138357882428e-6,99.38923368371172
g0.5,15,12.0,0.5,0.5000000000000002,4.440892098500626e-16,0.1,custom_erdos_renyi,0.9800796508789062,0.9640650854971712,0.9814326884808199,522,1237,9.981086984384158e-6,9.970392790020766e-6,99.38923368371172
g0.515,15,12.0,0.515,0.515,0.0,0.101,custom_erdos_renyi,0.9800796508789062,0.9640683783507866,0.9807580866045642,522,1176,9.945222300133949e-6,9.929635741173781e-6,99.38923368371172
g0.53,15,12.0,0.53,0.5299999999999997,6.28428127146315e-16,0.102,custom_erdos_renyi,0.9825439453125,0.9676267928935126,0.9884923429882863,597,2297,9.980167750112123e-6,9.972125020379918e-6,99.38923368371172
g0.545,15,12.0,0.545,0.5449999999999998,4.074212934404244e-16,0.103,custom_erdos_renyi,0.9800796508789062,0.9640568231976311,0.9830248572696828,522,1405,9.991546952192731e-6,9.935778366637615e-6,99.38923368371172
g0.56,15,12.0,0.56,0.5599999999999998,3.96508223080413e-16,0.104,custom_erdos_renyi,0.9912109375,0.9806334055007027,0.9906804809552774,1190,2988,9.91507791336943e-6,9.925835599527977e-6,99.38923368371172
