name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g0.2,15,12.0,0.2,0.2000000000000001,4.163336342344337e-16,0.08,custom_erdos_renyi,0.9800796508789062,0.9640600461077145,0.9659339857523023,522,567,9.978634230578542e-6,9.937862391479202e-6,99.38923368371172
g0.215,15,12.0,0.215,0.2150000000000001,5.163828021512356e-16,0.081,custom_erdos_renyi,0.9862442016601562,0.9728199427784814,0.9729143489608031,758,761,9.943409727625196e-6,9.95717286331188e-6,99.38923368371172
g0.23,15,12.0,0.23,0.23000000000000026,1.0860877414811314e-15,0.082,custom_erdos_renyi,0.9800796508789062,0.9640602182802231,0.9669950456280737,522,573,9.975260032601962e-6,9.88267332252546e-6,99.38923368371172
g0.26,15,12.0,0.26,0.26000000000000023,8.540177112501203e-16,0.084,custom_erdos_renyi,0.9800796508789062,0.9640827985691514,0.9662148951343427,522,555,9.914265296034896e-6,9.953214303970448e-6,99.38923368371172
g0.275,15,12.0,0.275,0.27499999999999997,2.0185873175002846e-16,0.085,custom_erdos_renyi,0.9800872802734375,0.96405575551573,0.966877378334606,522,581,9.998185171472551e-6,9.90258392979948e-6,99.38923368371172
g0.305,15,12.0,0.305,0.305,0.0,0.087,custom_erdos_renyi,0.9800796508789062,0.9640642800567099,0.966866321689616,522,584,9.967619901185554e-6,9.834668986158368e-6,99.38923368371172
g0.32,15,12.0,0.32,0.3200000000000002,5.204170427930421e-16,0.088,custom_erdos_renyi,0.9800796508789062,0.9640569666034905,0.9681059069529176,522,608,9.99758276545859e-6,9.838755345464856e-6,99.38923368371172
g0.335,15,12.0,0.335,0.3352487271501238,0.0007424691048471833,0.089,custom_erdos_renyi,0.9912567138671875,0.9807994477294527,0.9806208642411335,1195,1174,9.97143865011374e-6,9.918458406477093e-6,99.38923368371172
g0.35,15,12.0,0.35,0.35,0.0,0.09,custom_erdos_renyi,0.9800796508789062,0.964080801584311,0.966944964022425,522,582,9.92609094624397e-6,9.963720678574095e-6,99.38923368371172
g0.365,15,12.0,0.365,0.36818475591544136,0.008725358672442118,0.082,custom_erdos_renyi,0.99420166015625,0.9860113709336545,0.9870494191767124,1805,1987,9.943963099501296e-6,9.992051412915925e-6,99.38923368371172
