name,n,mu,target,sigma,sigma_error,scale,type
g14.0,14.0,10.0,0.7,0.6992903330590291,0.0010138099156726493,0.12,custom_barabasi_albert
g22.0,22.0,15.0,0.7,0.6975336942426829,0.003523293939024429,0.0825,custom_barabasi_albert
g30.0,30.0,21.0,0.7,0.6936823779941746,0.009025174294036153,0.055,custom_barabasi_albert
g42.0,42.0,29.0,0.7,0.7049095352547158,0.007013621792451178,0.045,custom_barabasi_albert
g46.0,46.0,32.0,0.7,0.7031406923905428,0.004486703415061173,0.0325,custom_barabasi_albert
g50.0,50.0,35.0,0.7,0.6935296197036216,0.009243400423397663,0.0375,custom_barabasi_albert
g54.0,54.0,38.0,0.7,0.6938979710065873,0.008717184276303731,0.0325,custom_barabasi_albert
g62.0,62.0,43.0,0.7,0.7008430792375695,0.0012043989108136343,0.0325,custom_barabasi_albert
g66.0,66.0,46.0,0.7,0.7172131691756963,0.02459024167956625,0.03,custom_barabasi_albert
g74.0,74.0,52.0,0.7,0.7151156052326523,0.021593721760931883,0.0225,custom_barabasi_albert
g78.0,78.0,55.0,0.7,0.6972985739894466,0.003859180015076204,0.0225,custom_barabasi_albert
g82.0,82.0,57.0,0.7,0.6946807311204525,0.0075989555422106845,0.0175,custom_barabasi_albert
g90.0,90.0,63.0,0.7,0.69407252538093,0.008467820884385644,0.0175,custom_barabasi_albert
g94.0,94.0,66.0,0.7,0.7132553285950622,0.01893618370723184,0.0175,custom_barabasi_albert
