name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g10.0,10.0,8.0,0.8,0.8,0.0,0.18,custom_erdos_renyi,0.9986648559570312,0.9958887563393167,0.9962139758154748,7949,8782,9.98683924202659e-6,9.983767205512528e-6,70.13380506920919
g12.0,12.0,10.0,0.8,0.8,0.0,0.15,custom_erdos_renyi,0.9986648559570312,0.9958209361095863,0.9961558133992809,7808,8536,9.991610495169168e-6,9.994768622789696e-6,85.55319421678888
g14.0,14.0,11.0,0.8,0.8019340902400722,0.0024176128000902297,0.0225,custom_erdos_renyi,0.9986648559570312,0.9957652255938535,0.9959368984186807,7702,7990,9.999393465104367e-6,9.99484672575086e-6,84.07133164056063
g16.0,16.0,13.0,0.8,0.8000000000000005,5.551115123125783e-16,0.1125,custom_erdos_renyi,0.9986648559570312,0.9958269177679049,0.9961875584957398,7815,8711,9.991562190586611e-6,9.999846892455588e-6,106.09138229861615
g18.0,18.0,14.0,0.8,0.7993131716576669,0.0008585354279164181,0.0175,custom_erdos_renyi,0.9986648559570312,0.9958609567424378,0.9958449459985632,7822,7834,9.989797693177316e-6,9.990039392920869e-6,94.08389709218577
g20.0,20.0,16.0,0.8,0.8000000000000002,1.3877787807814457e-16,0.09,custom_erdos_renyi,0.9986648559570312,0.995773737029692,0.9962192168736407,7713,8702,9.987187410298581e-6,9.998382277782124e-6,103.75259452210241
g22.0,22.0,18.0,0.8,0.7981283322304678,0.0023395847119153657,0.015,custom_erdos_renyi,0.9986648559570312,0.9957977858057315,0.9959080666586884,7763,8016,9.991785646118467e-6,9.990421879706168e-6,111.19028772448958
g24.0,24.0,19.0,0.8,0.8,0.0,0.075,custom_erdos_renyi,0.9986648559570312,0.9958171742661666,0.9961428357403558,7812,8597,9.989905639828933e-6,9.990004548404707e-6,99.69523570957726
g26.0,26.0,21.0,0.8,0.8039674057334977,0.004959257166872039,0.0125,custom_erdos_renyi,0.9986648559570312,0.9958167505088342,0.9958576402972051,7731,7901,9.988543155009522e-6,9.991294053768307e-6,87.76402457008273
g28.0,28.0,22.0,0.8,0.805897280848938,0.007371601061172406,0.0125,custom_erdos_renyi,0.9986648559570312,0.9958119480800715,0.9957898363102642,7803,7760,9.987004638500885e-6,9.988286178430617e-6,94.43818030624294
g30.0,30.0,24.0,0.8,0.7975047539593497,0.0031190575508129037,0.0625,custom_erdos_renyi,0.9986648559570312,0.9958293539052214,0.9961195825760362,7867,8542,9.998412071849944e-6,9.990644562751783e-6,105.72478154757742
g32.0,32.0,26.0,0.8,0.8012854451723906,0.0016068064654882475,0.0575,custom_erdos_renyi,0.9986648559570312,0.9958063377399409,0.9961827000270067,7778,8693,9.998163657182202e-6,9.994725305023655e-6,116.6753960139648
g34.0,34.0,27.0,0.8,0.7982888552668522,0.0021389309164347725,0.055,custom_erdos_renyi,0.9986648559570312,0.9958140121241161,0.9961837259013543,7801,8706,9.995984161265126e-6,9.994460220597023e-6,123.90510826483751
g36.0,36.0,29.0,0.8,0.8066141378120106,0.008267672265013237,0.0525,custom_erdos_renyi,0.9986648559570312,0.9958030276023129,0.9961927336906318,7785,8718,9.99938016257862e-6,9.987331144378775e-6,116.08142207342834
g38.0,38.0,30.0,0.8,0.7888960066493508,0.013879991688311583,0.01,custom_erdos_renyi,0.9986648559570312,0.9958382973446497,0.9959224915342334,7849,8036,9.98888456529845e-6,9.987200644989702e-6,127.808958987044
g40.0,40.0,32.0,0.8,0.7914621591060628,0.010672301117421595,0.0475,custom_erdos_renyi,0.9986648559570312,0.9957915138384441,0.9961709782299863,7762,8671,9.989501914831056e-6,9.992342375225727e-6,105.29758861040258
g44.0,44.0,35.0,0.8,0.8006019035860459,0.0007523794825572971,0.0425,custom_erdos_renyi,0.9986648559570312,0.9957574226778457,0.9961169448426138,7680,8527,9.999619012185379e-6,9.997568256786549e-6,147.00515324408713
