name,n,mu,target,sigma,sigma_error,scale,type,opt_rho,lossless_rho,lossy_rho,lossless_t,lossy_t,lossless_e,lossy_e,kappa
g0.2,15,12.0,0.2,0.2000000000000001,4.163336342344337e-16,0.08,custom_erdos_renyi,0.9800796508789062,0.9640600461077145,0.9778382133361839,522,988,9.978634230578542e-6,9.915313790131997e-6,99.38923368371172
g0.215,15,12.0,0.215,0.2150000000000001,5.163828021512356e-16,0.081,custom_erdos_renyi,0.9800872802734375,0.9640707196670476,0.9843151971247144,523,1541,9.797194515409613e-6,9.97408179423398e-6,99.38923368371172
g0.23,15,12.0,0.23,0.23000000000000026,1.0860877414811314e-15,0.082,custom_erdos_renyi,0.9800872802734375,0.9640818835200543,0.9780495258150201,522,999,9.922242732218756e-6,9.98290386666767e-6,99.38923368371172
g0.26,15,12.0,0.26,0.26000000000000023,8.540177112501203e-16,0.084,custom_erdos_renyi,0.9800796508789062,0.964058349146886,0.9798887914231678,522,1115,9.986997563660172e-6,9.934116989351871e-6,99.38923368371172
g0.275,15,12.0,0.275,0.27499999999999997,2.0185873175002846e-16,0.085,custom_erdos_renyi,0.9800796508789062,0.9640702051241825,0.9776177242062003,522,962,9.956272761957319e-6,9.775876365358815e-6,99.38923368371172
g0.305,15,12.0,0.305,0.305,0.0,0.087,custom_erdos_renyi,0.9800796508789062,0.9640424289942612,0.9849194931332049,522,1632,9.995058440875892e-6,9.954063341865993e-6,99.38923368371172
g0.32,15,12.0,0.32,0.3200000000000002,5.204170427930421e-16,0.088,custom_erdos_renyi,0.9800796508789062,0.9640495647729743,0.9826130214293989,523,1360,9.823498631128524e-6,9.99207732457763e-6,99.38923368371172
g0.335,15,12.0,0.335,0.3352487271501238,0.0007424691048471833,0.089,custom_erdos_renyi,0.9800872802734375,0.9640517162347667,0.9865494018739932,523,1891,9.842451658526041e-6,9.962624982706725e-6,99.38923368371172
g0.35,15,12.0,0.35,0.35,0.0,0.09,custom_erdos_renyi,0.9800796508789062,0.9640593281927307,0.9830010562379529,522,1362,9.985273002666162e-6,9.93531257623137e-6,99.38923368371172
g0.365,15,12.0,0.365,0.36818475591544136,0.008725358672442118,0.082,custom_erdos_renyi,0.9800796508789062,0.9640558867858526,0.9862374693910052,522,1832,9.99460554770848e-6,9.971902037331226e-6,99.38923368371172
g0.38,15,12.0,0.38,0.38,0.0,0.092,custom_erdos_renyi,0.9800872802734375,0.9640624221404701,0.9797704163654685,523,1110,9.79846950890928e-6,9.999874721777768e-6,99.38923368371172
g0.395,15,12.0,0.395,0.395,0.0,0.093,custom_erdos_renyi,0.9800796508789062,0.9640613727479037,0.9851544309432368,522,1658,9.95771301159909e-6,9.943428749159544e-6,99.38923368371172
g0.41,15,12.0,0.41,0.41,0.0,0.094,custom_erdos_renyi,0.9855728149414062,0.9716570961438841,0.9910624913663408,723,3104,9.904678313382709e-6,9.986704126156275e-6,99.38923368371172
g0.425,15,12.0,0.425,0.4231893126750364,0.00426044076462021,0.096,custom_erdos_renyi,0.9800796508789062,0.9640534681289333,0.987352786258494,522,2018,9.997803377403969e-6,9.98595625728571e-6,99.38923368371172
g0.44,15,12.0,0.44,0.4400000000000001,2.523234146875356e-16,0.096,custom_erdos_renyi,0.9800796508789062,0.9640541822177401,0.9877425706320283,523,2070,9.79390030383942e-6,9.974063988893445e-6,99.38923368371172
g0.455,15,12.0,0.455,0.4550000000000002,3.6600759053576587e-16,0.097,custom_erdos_renyi,0.9800796508789062,0.9640507679907959,0.986958482568444,523,1961,9.799925719478075e-6,9.883115489689454e-6,99.38923368371172
g0.47,15,12.0,0.47,0.4700000000000005,1.062979491662384e-15,0.098,custom_erdos_renyi,0.9800796508789062,0.9640555821339893,0.98683940356779,522,1941,9.994523982148618e-6,9.998163186669684e-6,99.38923368371172
g0.485,15,12.0,0.485,0.48500000000000015,3.433679457603577e-16,0.099,custom_erdos_renyi,0.980804443359375,0.9650333269451512,0.9838349398589004,542,1467,9.92740091229627e-6,9.954807114437303e-6,99.38923368371172
g0.5,15,12.0,0.5,0.5000000000000002,4.440892098500626e-16,0.1,custom_erdos_renyi,0.9800796508789062,0.964056309202595,0.9868823549698702,523,1938,9.802783910273227e-6,9.993704354199773e-6,99.38923368371172
g0.515,15,12.0,0.515,0.515,0.0,0.101,custom_erdos_renyi,0.9800796508789062,0.9640610826427891,0.9865939549038603,522,1890,9.949105896384092e-6,9.944628748953521e-6,99.38923368371172
